iter	Passed	Remaining
569	3349	2526
570	3354	2519
571	3359	2513
572	3364	2507
573	3369	2500
574	3374	2494
575	3378	2487
576	3383	2480
577	3387	2473
578	3391	2466
579	3396	2459
580	3400	2452
581	3405	2445
582	3410	2439
583	3415	2432
584	3419	2425
585	3424	2419
586	3429	2413
587	3433	2406
588	3441	2401
589	3446	2395
590	3451	2388
591	3457	2383
592	3462	2376
593	3467	2370
594	3471	2363
595	3477	2357
596	3482	2350
597	3486	2343
598	3491	2337
599	3495	2330
600	3499	2323
601	3504	2316
602	3509	2310
603	3513	2303
604	3518	2297
605	3523	2290
606	3528	2284
607	3532	2277
608	3537	2271
609	3541	2264
610	3546	2258
611	3551	2251
612	3556	2245
613	3561	2238
614	3565	2231
615	3569	2224
616	3572	2217
617	3576	2210
618	3579	2203
619	3583	2196
620	3587	2189
621	3591	2182
622	3596	2176
623	3600	2169
624	3603	2162
625	3608	2155
626	3611	2148
627	3615	2141
628	3619	2134
629	3623	2127
630	3627	2121
631	3630	2114
632	3635	2107
633	3640	2101
634	3643	2094
635	3647	2087
636	3651	2080
637	3656	2074
638	3660	2068
639	3664	2061
640	3669	2055
641	3673	2048
642	3677	2041
643	3681	2035
644	3685	2028
645	3690	2022
646	3694	2015
647	3699	2009
648	3704	2003
649	3708	1996
650	3713	1990
651	3719	1985
652	3725	1979
653	3732	1974
654	3739	1969
655	3745	1964
656	3751	1958
657	3757	1952
658	3763	1947
659	3769	1941
660	3776	1936
661	3782	1931
662	3791	1927
663	3797	1921
664	3804	1916
665	3810	1911
666	3817	1906
667	3824	1900
668	3830	1895
669	3839	1890
670	3845	1885
671	3852	1880
672	3858	1874
673	3864	1869
674	3870	1863
675	3877	1858
676	3882	1852
677	3887	1846
678	3893	1840
679	3898	1834
680	3902	1828
681	3907	1822
682	3913	1816
683	3918	1810
684	3923	1804
685	3928	1798
686	3933	1792
687	3938	1786
688	3942	1779
689	3948	1773
690	3954	1768
691	3958	1761
692	3963	1755
693	3970	1750
694	3975	1744
695	3981	1739
696	3986	1732
697	3990	1726
698	3996	1720
699	4002	1715
700	4008	1709
701	4014	1704
702	4018	1697
703	4022	1691
704	4028	1685
705	4034	1679
706	4039	1674
707	4046	1668
708	4052	1663
709	4058	1657
710	4064	1652
711	4069	1646
